instant_utc,debit_m3s
2026-08-13T18:30:00Z,0.048
2026-08-13T18:40:00Z,0.046
2026-08-13T18:50:00Z,0.049
2026-08-13T19:00:00Z,0.048
2026-08-13T19:10:00Z,0.052
2026-08-13T19:20:00Z,0.048
2026-08-13T19:30:00Z,0.049
2026-08-13T19:40:00Z,0.049
2026-08-13T19:50:00Z,0.048
2026-08-13T20:00:00Z,0.049
2026-08-13T20:10:00Z,0.047
2026-08-13T20:20:00Z,0.049
2026-08-13T20:30:00Z,0.047
2026-08-13T20:40:00Z,0.049
2026-08-13T20:50:00Z,0.049
2026-08-13T21:00:00Z,0.049
2026-08-13T21:10:00Z,0.049
2026-08-13T21:20:00Z,0.047
2026-08-13T21:30:00Z,0.047
2026-08-13T21:40:00Z,0.049
2026-08-13T21:50:00Z,0.049
2026-08-13T22:00:00Z,0.047
2026-08-13T22:10:00Z,0.047
2026-08-13T22:20:00Z,0.047
2026-08-13T22:30:00Z,0.049
2026-08-13T22:40:00Z,0.048
2026-08-13T22:50:00Z,0.047
2026-08-13T23:00:00Z,0.047
2026-08-13T23:10:00Z,0.047
2026-08-13T23:20:00Z,0.049
2026-08-13T23:30:00Z,0.049
2026-08-13T23:40:00Z,0.047
2026-08-13T23:50:00Z,0.047
2026-08-14T00:00:00Z,0.047
2026-08-14T00:10:00Z,0.049
2026-08-14T00:20:00Z,0.049
2026-08-14T00:30:00Z,0.049
2026-08-14T00:40:00Z,0.049
2026-08-14T00:50:00Z,0.049
2026-08-14T01:00:00Z,0.047
2026-08-14T01:10:00Z,0.047
2026-08-14T01:20:00Z,0.05
2026-08-14T01:30:00Z,0.048
2026-08-14T01:40:00Z,0.047
2026-08-14T01:50:00Z,0.047
2026-08-14T02:00:00Z,0.047
2026-08-14T02:10:00Z,0.048
2026-08-14T02:20:00Z,0.047
2026-08-14T02:40:00Z,0.047
2026-08-14T03:00:00Z,0.047
2026-08-14T03:10:00Z,0.047
2026-08-14T03:20:00Z,0.047
2026-08-14T03:40:00Z,0.048
2026-08-14T03:50:00Z,0.047
2026-08-14T04:00:00Z,0.048
2026-08-14T04:10:00Z,0.047
2026-08-14T04:20:00Z,0.047
2026-08-14T04:30:00Z,0.046
2026-08-14T04:40:00Z,0.047
2026-08-14T05:00:00Z,0.047
2026-08-14T05:20:00Z,0.047
2026-08-14T05:30:00Z,0.047
2026-08-14T05:40:00Z,0.047
2026-08-14T05:50:00Z,0.047
2026-08-14T06:10:00Z,0.047
2026-08-14T06:20:00Z,0.047
2026-08-14T06:30:00Z,0.047
2026-08-14T06:40:00Z,0.048
2026-08-14T06:50:00Z,0.047
2026-08-14T07:10:00Z,0.047
2026-08-14T07:20:00Z,0.047
2026-08-14T07:30:00Z,0.049
2026-08-14T07:40:00Z,0.047
